Symbol,GICS Sector,GICS Sub-Industry
POWL,Energy,Electrical Products
PPC,Consumer Staples,Meat/Poultry/Fish
PPLI,Technology,Computer Software: Programming Data Processing
PPTA,Basic Materials,Precious Metals
PRAA,Finance,Finance Companies
PRAX,Health Care,Biotechnology: Pharmaceutical Preparations
PRCH,Technology,Computer Software: Prepackaged Software
PRCT,Health Care,Medical/Dental Instruments
PRDO,Real Estate,Other Consumer Services
PRGS,Technology,Computer Software: Prepackaged Software
PRTA,Health Care,Biotechnology: Pharmaceutical Preparations
PRTH,Consumer Discretionary,Business Services
PRVA,Health Care,Medical/Nursing Services
PSIX,Industrials,Industrial Machinery/Components
PSKY,Industrials,Broadcasting
PSMT,Consumer Discretionary,Department/Specialty Retail Stores
PSNL,Health Care,Medical Specialities
PTC,Technology,Computer Software: Prepackaged Software
PTCT,Health Care,Biotechnology: Pharmaceutical Preparations
PTEN,Energy,Oil & Gas Production
PTGX,Health Care,Biotechnology: Pharmaceutical Preparations
PTON,Consumer Discretionary,Recreational Games/Products/Toys
PTRN,Consumer Discretionary,Catalog/Specialty Distribution
PUBM,Technology,Computer Software: Programming Data Processing
PURR,Finance,Finance: Consumer Services
PVLA,Health Care,Biotechnology: Pharmaceutical Preparations
PWP,Finance,Finance: Consumer Services
PYPL,Industrials,Diversified Commercial Services
PZZA,Consumer Discretionary,Restaurants
QBTS,Technology,EDP Services
QCOM,Technology,Radio And Television Broadcasting And Communications Equipment
QDEL,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
QFIN,Finance,Finance: Consumer Services
QLYS,Technology,Computer Software: Prepackaged Software
QMCO,Technology,Electronic Components
QNST,Consumer Discretionary,Business Services
QNT,Technology,EDP Services
QRVO,Technology,Semiconductors
QS,Miscellaneous,Industrial Machinery/Components
QTTB,Health Care,Biotechnology: Pharmaceutical Preparations
QUBT,Technology,Computer Software: Prepackaged Software
QURE,Health Care,Biotechnology: Pharmaceutical Preparations
RAPP,Health Care,Biotechnology: Pharmaceutical Preparations
RARE,Health Care,Biotechnology: Pharmaceutical Preparations
RBB,Finance,Major Banks
RCAT,Technology,Computer Software: Prepackaged Software
RCBC,Finance,Major Banks
RDNT,Health Care,Medical Specialities
RDVT,Technology,Computer Software: Prepackaged Software
RDWR,Consumer Discretionary,Business Services
REAL,Consumer Discretionary,Other Specialty Stores
REG,Real Estate,Real Estate Investment Trusts
REGN,Health Care,Biotechnology: Pharmaceutical Preparations
RELL,Technology,Electronic Components
RELY,Consumer Discretionary,Business Services
REPL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
REYN,Consumer Discretionary,Containers/Packaging
RGC,Health Care, Medicinal Chemicals and Botanical Products 
RGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RGLD,Industrials,Precious Metals
RGNX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RGTI,Technology,EDP Services
RIGL,Health Care,Biotechnology: Pharmaceutical Preparations
RIOT,Finance,Finance: Consumer Services
RIVN,Industrials,Auto Manufacturing
RKLB,Industrials,Military/Government/Technical
RLAY,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RMBS,Technology,Semiconductors
RMIX,Industrials,Building Materials
RMNI,Consumer Discretionary,Business Services
RMR,Consumer Discretionary,Professional Services
RNW,Utilities,Electric Utilities: Central
ROAD,Industrials,Military/Government/Technical
ROCK,Industrials,Steel/Iron Ore
ROIV,Health Care,Biotechnology: Pharmaceutical Preparations
ROKU,Telecommunications,Cable & Other Pay Television Services
ROOT,Finance,Property-Casualty Insurers
ROP,Industrials,Industrial Machinery/Components
ROST,Consumer Discretionary,Clothing/Shoe/Accessory Stores
RPD,Technology,Computer Software: Prepackaged Software
RPRX,Health Care,Biotechnology: Pharmaceutical Preparations
RRR,Consumer Discretionary,Hotels/Resorts
RUM,Technology,Computer Software: Programming Data Processing
RUN,Miscellaneous,Industrial Machinery/Components
RUSHA,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
RVMD,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RYAAY,Consumer Discretionary,Air Freight/Delivery Services
RYTM,Health Care,Biotechnology: Pharmaceutical Preparations
SAFT,Finance,Property-Casualty Insurers
SAIA,Industrials,Trucking Freight/Courier Services
SAIC,Technology,EDP Services
SAIL,Technology,Computer Software: Prepackaged Software
SANM,Technology,Electrical Products
SATA,Technology,Computer Software: Prepackaged Software
SATL,Technology,Radio And Television Broadcasting And Communications Equipment
SBAC,Real Estate,Real Estate Investment Trusts
SBCF,Finance,Major Banks
SBET,Technology,Computer Software: Prepackaged Software
SBGI,Industrials,Broadcasting
SBLK,Consumer Discretionary,Marine Transportation
SBRA,Real Estate,Real Estate Investment Trusts
SBUX,Consumer Discretionary,Restaurants
SCHL,Consumer Discretionary,Books
SCSC,Technology,Retail: Computer Software & Peripheral Equipment
SCTX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SCZM,Basic Materials,Precious Metals
SDGR,Health Care,Biotechnology: Pharmaceutical Preparations
SEDG,Technology,Semiconductors
SEIC,Finance,Investment Bankers/Brokers/Service
SENEA,Consumer Staples,Packaged Foods
SEPN,Health Care,Biotechnology: Pharmaceutical Preparations
SERV,Industrials,Industrial Machinery/Components
SEZL,Finance,Finance: Consumer Services
SFD,Consumer Staples,Meat/Poultry/Fish
SFM,Consumer Staples,Food Chains
SFNC,Finance,Major Banks
SGHT,Health Care,Medical/Dental Instruments
SGML,Basic Materials,Metal Mining
SGMT,Health Care,Biotechnology: Pharmaceutical Preparations
SGRY,Health Care,Hospital/Nursing Management
SHAZ,Technology,EDP Services
SHBI,Finance,Major Banks
SHC,Health Care,Misc Health and Biotechnology Services
SHEN,Telecommunications,Telecommunications Equipment
SHIP,Consumer Discretionary,Marine Transportation
SHLS,Technology,Semiconductors
SHOE,Consumer Discretionary,Clothing/Shoe/Accessory Stores
SHOO,Consumer Discretionary,Shoe Manufacturing
SHOP,Technology,Computer Software: Prepackaged Software
SIBN,Health Care,Medical/Dental Instruments
SIGI,Finance,Property-Casualty Insurers
SIMO,Technology,Semiconductors
SION,Health Care,Biotechnology: Pharmaceutical Preparations
SIRI,Consumer Discretionary,Broadcasting
SITM,Technology,Semiconductors
SKHY,Technology,Semiconductors
SKWD,Finance,Property-Casualty Insurers
SKYW,Consumer Discretionary,Air Freight/Delivery Services
SLAB,Technology,Semiconductors
SLDB,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SLDE,Finance,Property-Casualty Insurers
SLM,Finance,Finance: Consumer Services
SLN,Health Care,Biotechnology: Pharmaceutical Preparations
SLP,Technology,EDP Services
SLRC,Finance,Finance/Investors Services
SLS,Health Care,Biotechnology: Pharmaceutical Preparations
SMCI,Technology,Computer Manufacturing
SMMT,Health Care,Biotechnology: Pharmaceutical Preparations
SMPL,Consumer Staples,Packaged Foods
SMTC,Technology,Semiconductors
SMTI,Health Care,Industrial Specialties
SNDK,Technology,Electronic Components
SNDX,Health Care,Biotechnology: Pharmaceutical Preparations
SNEX,Finance,Investment Bankers/Brokers/Service
SNPS,Technology,Computer Software: Prepackaged Software
SNY,Health Care,Biotechnology: Pharmaceutical Preparations
SOFI,Finance,Finance: Consumer Services
SOLS,Industrials,Major Chemicals
SONO,Consumer Staples,Consumer Electronics/Appliances
SOPH,Technology,EDP Services
SOUN,Technology,Computer Software: Prepackaged Software
SPCX,Technology,Computer Software: Programming Data Processing
SPRY,Health Care,Biotechnology: Pharmaceutical Preparations
SPSC,Technology,Computer Software: Prepackaged Software
SPT,Technology,Computer Software: Prepackaged Software
SPTX,Health Care,Biotechnology: Pharmaceutical Preparations
SRAD,Technology,Computer Software: Programming Data Processing
SRCE,Finance,Major Banks
SRPT,Health Care,Biotechnology: Pharmaceutical Preparations
SRRK,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SRTA,Health Care,Medical/Nursing Services
SSNC,Technology,Computer Software: Prepackaged Software
SSRM,Industrials,Precious Metals
SSYS,Technology,Computer peripheral equipment
STAA,Health Care,Ophthalmic Goods
STBA,Finance,Major Banks
STEP,Finance,Investment Managers
STGW,Consumer Discretionary,Advertising
STLD,Industrials,Steel/Iron Ore
STLN,Health Care,Medical/Nursing Services
STNE,Technology,EDP Services
STOK,Health Care,Biotechnology: Pharmaceutical Preparations
STRA,Real Estate,Other Consumer Services
STRC,Technology,Computer Software: Prepackaged Software
STRD,Technology,Computer Software: Prepackaged Software
STRL,Industrials,Military/Government/Technical
STRO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
STRZ,Consumer Discretionary,Movies/Entertainment
STTK,Health Care,Biotechnology: Pharmaceutical Preparations
STX,Technology,Electronic Components
SUPN,Health Care,Biotechnology: Pharmaceutical Preparations
SVC,Real Estate,Real Estate Investment Trusts
SVRA,Health Care,Biotechnology: Pharmaceutical Preparations
SWBI,Industrials,Ordnance And Accessories
SWIM,Industrials,Plastic Products
SWKS,Technology,Semiconductors
SWMR,Technology,Computer Software: Prepackaged Software
SYM,Industrials,Industrial Machinery/Components
SYNA,Technology,Semiconductors
SYRE,Health Care,Biotechnology: Pharmaceutical Preparations
TALK,Health Care,Medical/Nursing Services
TARS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TASK,Technology,EDP Services
TATT,Industrials,Aerospace
TBBK,Finance,Major Banks
TBPH,Health Care,Biotechnology: Pharmaceutical Preparations
TCBI,Finance,Major Banks
TCBK,Finance,Major Banks
TCMD,Health Care,Medical/Dental Instruments
TCOM,Consumer Discretionary,Business Services
TEAM,Technology,Computer Software: Prepackaged Software
TECH,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TECX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TEM,Technology,Computer Software: Programming Data Processing
TENB,Technology,Computer Software: Prepackaged Software
TENX,Health Care,Biotechnology: Pharmaceutical Preparations
TER,Industrials,Electrical Products
TFSL,Finance,Savings Institutions
TGTX,Health Care,Biotechnology: Pharmaceutical Preparations
TH,Consumer Discretionary,Hotels/Resorts
THFF,Finance,Major Banks
THRM,Consumer Discretionary,Auto Parts:O.E.M.
TIGO,Telecommunications,Telecommunications Equipment
TILE,Consumer Discretionary,Home Furnishings
TIPT,Finance,Property-Casualty Insurers
TITN,Consumer Discretionary,Other Specialty Stores
TKNO,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
TLN,Utilities,Electric Utilities: Central
TLSI,Health Care,Medical Specialities
TLX,Health Care,Biotechnology: Pharmaceutical Preparations
TMDX,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
TMUS,Telecommunications,Telecommunications Equipment
TNDM,Health Care,Medical/Dental Instruments
TNGX,Health Care,Biotechnology: Pharmaceutical Preparations
TOWN,Finance,Major Banks
TPG,Finance,Investment Managers
TRAX,Health Care,Biotechnology: Pharmaceutical Preparations
TREE,Finance,Finance: Consumer Services
TRI,Consumer Discretionary,Publishing
TRIP,Technology,Computer Software: Programming Data Processing
TRMB,Industrials,Industrial Machinery/Components
TRMD,Consumer Discretionary,Marine Transportation
TRMK,Finance,Major Banks
TRNS,Industrials,Electrical Products
TROW,Finance,Investment Managers
TRS,Industrials,Industrial Specialties
TRST,Finance,Major Banks
TRUP,Health Care,Medical Specialities
TRVG,Technology,EDP Services
TRVI,Health Care,Biotechnology: Pharmaceutical Preparations
TSAT,Industrials,Metal Fabrications
TSCO,Consumer Discretionary,RETAIL: Building Materials
TSEM,Technology,Semiconductors
TSHA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TSLA,Industrials,Auto Manufacturing
TSSI,Consumer Discretionary,Professional Services
TTAN,Technology,Computer Software: Prepackaged Software
TTD,Technology,Computer Software: Programming Data Processing
TTEK,Consumer Discretionary,Military/Government/Technical
TTMI,Technology,Electrical Products
TTWO,Technology,Computer Software: Prepackaged Software
TVTX,Health Care,Biotechnology: Pharmaceutical Preparations
TW,Finance,Investment Bankers/Brokers/Service
TWST,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TXG,Industrials,Biotechnology: Laboratory Analytical Instruments
TXN,Technology,Semiconductors
TXRH,Consumer Discretionary,Restaurants
TYRA,Health Care,Biotechnology: Pharmaceutical Preparations
UAL,Consumer Discretionary,Air Freight/Delivery Services
UBSI,Finance,Major Banks
UCTT,Technology,Semiconductors
UFPI,Basic Materials,Forest Products
UFPT,Health Care,Medical/Dental Instruments
ULCC,Consumer Discretionary,Air Freight/Delivery Services
ULTA,Consumer Discretionary,Other Specialty Stores
UMBF,Finance,Major Banks
UNIT,Real Estate,Real Estate Investment Trusts
UPB,Health Care,Biotechnology: Pharmaceutical Preparations
UPBD,Consumer Discretionary,Diversified Commercial Services
UPST,Finance,Finance: Consumer Services
UPWK,Technology,EDP Services
URBN,Consumer Discretionary,Clothing/Shoe/Accessory Stores
URGN,Health Care,Biotechnology: Pharmaceutical Preparations
USAR,Basic Materials,Metal Mining
USLM,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
UTHR,Health Care,Biotechnology: Pharmaceutical Preparations
UVSP,Finance,Major Banks
VC,Consumer Discretionary,Auto Parts:O.E.M.
VCEL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VCTR,Finance,Investment Managers
VCYT,Health Care,Medical Specialities
VECO,Technology,Industrial Machinery/Components
VELO,Technology,Industrial Machinery/Components
VERA,Health Care,Biotechnology: Pharmaceutical Preparations
VERX,Technology,Computer Software: Prepackaged Software
VIAV,Technology,Semiconductors
VICR,Technology,Industrial Machinery/Components
VIR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VISN,Technology,Radio And Television Broadcasting And Communications Equipment
VITL,Consumer Staples,Packaged Foods
VKTX,Health Care,Biotechnology: Pharmaceutical Preparations
VLY,Finance,Major Banks
VMD,Health Care,Misc Health and Biotechnology Services
VMET,Industrials,Precious Metals
VNDA,Health Care,Biotechnology: Pharmaceutical Preparations
VNET,Technology,Computer Software: Programming Data Processing
VNOM,Energy,Oil & Gas Production
VOD,Telecommunications,Telecommunications Equipment
VOR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOXR,Basic Materials,Precious Metals
VRDN,Health Care,Biotechnology: Pharmaceutical Preparations
VREX,Technology,Industrial Machinery/Components
VRNS,Technology,Computer Software: Prepackaged Software
VRSK,Technology,EDP Services
VRSN,Technology,EDP Services
VRTX,Health Care,Biotechnology: Pharmaceutical Preparations
VSAT,Consumer Discretionary,Telecommunications Equipment
VSEC,Consumer Discretionary,Military/Government/Technical
VSNT,Industrials,Broadcasting
VSTM,Health Care,Biotechnology: Pharmaceutical Preparations
VTRS,Health Care,Biotechnology: Pharmaceutical Preparations
WABC,Finance,Major Banks
WAFD,Finance,Major Banks
WAY,Technology,EDP Services
WB,Technology,Computer Software: Programming Data Processing
WBD,Telecommunications,Cable & Other Pay Television Services
WBTN,Consumer Discretionary,Publishing
WDAY,Technology,EDP Services
WDC,Technology,Electronic Components
WDFC,Industrials,Major Chemicals
WEN,Consumer Discretionary,Restaurants
WERN,Industrials,Trucking Freight/Courier Services
WEST,Consumer Staples,Beverages (Production/Distribution)
WFRD,Consumer Discretionary,Oil and Gas Field Machinery
WGS,Health Care,Medical/Nursing Services
WING,Consumer Discretionary,Restaurants
WIX,Technology,Computer Software: Programming Data Processing
WLDN,Consumer Discretionary,Military/Government/Technical
WLFC,Consumer Discretionary,Industrial Specialties
WLTH,Finance,Finance: Consumer Services
WMG,Consumer Discretionary,Services-Misc. Amusement & Recreation
WMT,Consumer Discretionary,Department/Specialty Retail Stores
WRD,Technology,EDP Services
WSBC,Finance,Major Banks
WSC,Industrials,Misc Corporate Leasing Services
WSE,Industrials,Diversified Commercial Services
WSFS,Finance,Major Banks
WTFC,Finance,Major Banks
WTW,Finance,Specialty Insurers
WULF,Finance,Finance: Consumer Services
WVE,Health Care,Biotechnology: Pharmaceutical Preparations
WWD,Energy,Industrial Machinery/Components
WYFI,Finance,Finance: Consumer Services
WYNN,Consumer Discretionary,Hotels/Resorts
XE,Industrials,Metal Fabrications
XEL,Utilities,Power Generation
XENE,Health Care,Biotechnology: Pharmaceutical Preparations
XERS,Health Care,Biotechnology: Pharmaceutical Preparations
XMAX,Consumer Discretionary,Home Furnishings
XMTR,Consumer Discretionary,Business Services
XNCR,Health Care,Biotechnology: Pharmaceutical Preparations
XNDU,Technology,Computer Manufacturing
XNET,Technology,Computer Software: Prepackaged Software
XP,Finance,Investment Bankers/Brokers/Service
XPEL,Industrials,Industrial Specialties
XRAY,Health Care,Medical/Dental Instruments
YORW,Utilities,Water Supply
YSWY,Consumer Staples,Food Chains
Z,Consumer Discretionary,Business Services
ZBIO,Health Care,Biotechnology: Pharmaceutical Preparations
ZBRA,Industrials,Industrial Machinery/Components
ZD,Telecommunications,Telecommunications Equipment
ZG,Consumer Discretionary,Business Services
ZION,Finance,Major Banks
ZLAB,Health Care,Biotechnology: Pharmaceutical Preparations
ZM,Technology,Computer Software: Programming Data Processing
ZS,Technology,EDP Services
ZUMZ,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ZURA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ZVRA,Health Care,Biotechnology: Pharmaceutical Preparations
ZYME,Health Care,Biotechnology: Pharmaceutical Preparations
A,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Industrials,Aluminum
AADX,Industrials,Military/Government/Technical
AAMI,Finance,Investment Managers
AAP,Consumer Discretionary,Auto & Home Supply Stores
AAT,Real Estate,Real Estate Investment Trusts
AB,Finance,Investment Managers
ABBV,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Finance,Major Banks
ABG,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABM,Consumer Discretionary,Diversified Commercial Services
ABR,Real Estate,Real Estate Investment Trusts
ABT,Health Care,Biotechnology: Pharmaceutical Preparations
ABX,Finance,Investment Managers
ACA,Industrials,Metal Fabrications
ACEL,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACHR,Industrials,Aerospace
ACI,Consumer Staples,Food Chains
ACM,Consumer Discretionary,Military/Government/Technical
ACN,Consumer Discretionary,Business Services
ACVA,Consumer Discretionary,Business Services
AD,Telecommunications,Telecommunications Equipment
ADC,Real Estate,Real Estate Investment Trusts
ADIG,Industrials,Wholesale Distributors
ADM,Consumer Staples,Packaged Foods
ADNT,Consumer Discretionary,Auto Parts:O.E.M.
ADT,Consumer Discretionary,Diversified Commercial Services
AEE,Utilities,Power Generation
AEG,Finance,Life Insurance
AEM,Basic Materials,Precious Metals
AEO,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AER,Consumer Discretionary,Diversified Commercial Services
AERO,Consumer Discretionary,Air Freight/Delivery Services
AES,Industrials,Electric Utilities: Central
AESI,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AFG,Finance,Property-Casualty Insurers
AFL,Finance,Accident &Health Insurance
AG,Basic Materials,Precious Metals
AGBK,Finance,Commercial Banks
AGCO,Industrials,Industrial Machinery/Components
AGI,Basic Materials,Precious Metals
AGL,Health Care,Misc Health and Biotechnology Services
AGO,Finance,Property-Casualty Insurers
AGRO,Consumer Staples,Farming/Seeds/Milling
AGX,Consumer Discretionary,Engineering & Construction
AHR,Real Estate,Real Estate Investment Trusts
AHRT,Finance,Real Estate
AI,Technology,Computer Software: Prepackaged Software
AIG,Finance,Property-Casualty Insurers
AIN,Consumer Discretionary,Textiles
AIR,Industrials,Aerospace
AIT,Consumer Discretionary,Industrial Specialties
AIZ,Finance,Property-Casualty Insurers
AJG,Finance,Specialty Insurers
AKR,Real Estate,Real Estate Investment Trusts
ALB,Industrials,Major Chemicals
ALC,Health Care,Ophthalmic Goods
ALG,Industrials,Industrial Machinery/Components
ALH,Industrials,Industrial Machinery/Components
ALIT,Consumer Discretionary,Business Services
ALK,Consumer Discretionary,Air Freight/Delivery Services
ALL,Finance,Property-Casualty Insurers
ALLE,Consumer Discretionary,Diversified Commercial Services
ALLY,Finance,Major Banks
ALSN,Consumer Discretionary,Auto Parts:O.E.M.
ALV,Consumer Discretionary,Auto Parts:O.E.M.
AM,Utilities,Natural Gas Distribution
AMBP,Industrials,Containers/Packaging
AMBQ,Technology,Semiconductors
AMCR,Consumer Discretionary,Miscellaneous manufacturing industries
AME,Industrials,Industrial Machinery/Components
AMG,Finance,Investment Managers
AMH,Real Estate,Real Estate Investment Trusts
AMN,Consumer Discretionary,Professional Services
AMP,Finance,Investment Managers
AMPX,Miscellaneous,Industrial Machinery/Components
AMR,Energy,Coal Mining
AMRC,Consumer Discretionary,Engineering & Construction
AMRZ,Industrials,Building Materials
AMT,Real Estate,Real Estate Investment Trusts
AMTB,Finance,Major Banks
AMTM,Consumer Discretionary,Business Services
AMX,Telecommunications,Telecommunications Equipment
AN,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ANDG,Consumer Discretionary,Business Services
ANET,Telecommunications,Computer Communications Equipment
ANF,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANRO,Health Care,Biotechnology: Pharmaceutical Preparations
AON,Finance,Specialty Insurers
AORT,Health Care,Medical/Dental Instruments
AOS,Consumer Discretionary,Consumer Electronics/Appliances
APAM,Finance,Investment Managers
APD,Basic Materials,Major Chemicals
APG,Consumer Discretionary,Diversified Commercial Services
APH,Technology,Electrical Products
APLE,Real Estate,Real Estate Investment Trusts
APO,Finance,Investment Managers
APTV,Consumer Discretionary,Auto Parts:O.E.M.
AQN,Utilities,Electric Utilities: Central
AR,Energy,Oil & Gas Production
ARCO,Consumer Discretionary,Restaurants
ARDT,Health Care,Hospital/Nursing Management
ARE,Real Estate,Real Estate Investment Trusts
ARES,Finance,Investment Managers
ARI,Real Estate,Real Estate Investment Trusts
ARLO,Consumer Discretionary,Diversified Commercial Services
ARMK,Consumer Discretionary,Restaurants
AROC,Utilities,Natural Gas Distribution
ARR,Real Estate,Real Estate Investment Trusts
ARW,Technology,Electronic Components
ARX,Finance,Specialty Insurers
AS,Consumer Discretionary,Apparel
ASAN,Technology,Computer Software: Prepackaged Software
ASB,Finance,Major Banks
ASC,Consumer Discretionary,Marine Transportation
ASH,Consumer Discretionary,Specialty Chemicals
ASIX,Industrials,Major Chemicals
ASPN,Consumer Discretionary,RETAIL: Building Materials
ASX,Technology,Semiconductors
ATEN,Telecommunications,Computer Communications Equipment
ATHM,Technology,EDP Services
ATI,Industrials,Steel/Iron Ore
ATKR,Miscellaneous,Industrial Machinery/Components
ATMU,Consumer Discretionary,Auto Parts:O.E.M.
ATO,Utilities,Oil/Gas Transmission
ATR,Industrials,Plastic Products
ATS,Industrials,Industrial Machinery/Components
AU,Basic Materials,Precious Metals
AUB,Finance,Major Banks
AUNA,Health Care,Medical/Nursing Services
AVA,Utilities,Power Generation
AVB,Real Estate,Real Estate Investment Trusts
AVBC,Finance,Banks
AVEX,Industrials,Aerospace
AVNT,Industrials,Major Chemicals
AVTR,Industrials,Biotechnology: Laboratory Analytical Instruments
AVY,Consumer Discretionary,Containers/Packaging
AWI,Industrials,Plastic Products
AWK,Utilities,Water Supply
AWR,Utilities,Water Supply
AX,Finance,Savings Institutions
AXP,Finance,Finance: Consumer Services
AXS,Finance,Property-Casualty Insurers
AXTA,Consumer Discretionary,Paints/Coatings
AYI,Consumer Discretionary,Building Products
AZN,Health Care,Biotechnology: Pharmaceutical Preparations
AZO,Consumer Discretionary,Auto & Home Supply Stores
AZZ,Industrials,Industrial Specialties
B,Basic Materials,Precious Metals
BA,Industrials,Aerospace
BABA,Consumer Discretionary,Business Services
BAC,Finance,Major Banks
BAH,Consumer Discretionary,Professional Services
BALL,Industrials,Containers/Packaging
BAM,Real Estate,Building operators
BANC,Finance,Major Banks
BAP,Finance,Commercial Banks
BAX,Health Care,Medical/Dental Instruments
BB,Technology,Computer Software: Prepackaged Software
BBAR,Finance,Commercial Banks
BBDC,Finance,Diversified Financial Services
BBT,Finance,Banks
BBUC,Consumer Discretionary,Engineering & Construction
BBVA,Finance,Commercial Banks
BBW,Consumer Discretionary,Recreational Games/Products/Toys
BBWI,Consumer Discretionary,Other Specialty Stores
BBY,Consumer Discretionary,Consumer Electronics/Video Chains
BC,Industrials,Industrial Machinery/Components
BCAT,Finance,Finance/Investors Services
BCC,Consumer Discretionary,RETAIL: Building Materials
BCE,Telecommunications,Telecommunications Equipment
BCH,Finance,Commercial Banks
BCO,Industrials,Integrated Freight & Logistics
BCS,Finance,Commercial Banks
BCSF,Finance,Finance/Investors Services
BCX,Finance,Finance/Investors Services
BDC,Industrials,Telecommunications Equipment
BDJ,Finance,Finance Companies
BDX,Health Care,Medical/Dental Instruments
BE,Energy,Industrial Machinery/Components
BEKE,Finance,Real Estate
BEN,Finance,Investment Managers
BEP,Utilities,Electric Utilities: Central
BEPC,Utilities,Electric Utilities: Central
BETA,Industrials,Aerospace
BFAM,Consumer Discretionary,Other Consumer Services
BFH,Consumer Discretionary,Business Services
BFLY,Health Care,Medical Electronics
BFS,Real Estate,Real Estate Investment Trusts
BG,Consumer Staples,Packaged Foods
BH,Consumer Discretionary,Restaurants
BHC,Health Care,Biotechnology: Pharmaceutical Preparations
BHE,Technology,Electrical Products
BHP,Energy,Coal Mining
BHVN,Health Care,Biotechnology: Pharmaceutical Preparations
BILL,Technology,Computer Software: Prepackaged Software
BIO,Industrials,Biotechnology: Laboratory Analytical Instruments
BIP,Consumer Discretionary,Marine Transportation
BIPC,Consumer Discretionary,Marine Transportation
BIRK,Consumer Discretionary,Shoe Manufacturing
BJ,Consumer Discretionary,Department/Specialty Retail Stores
BKD,Health Care,Hospital/Nursing Management
BKE,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BKH,Utilities,Electric Utilities: Central
BKKT,Finance,Finance: Consumer Services
BKSY,Technology,Radio And Television Broadcasting And Communications Equipment
BKT,Finance,Investment Bankers/Brokers/Service
BKU,Finance,Savings Institutions
BKV,Energy,Oil & Gas Production
BLCO,Health Care,Ophthalmic Goods
BLDR,Consumer Discretionary,RETAIL: Building Materials
BLK,Finance,Investment Bankers/Brokers/Service
BLSH,Finance,Finance: Consumer Services
BLX,Finance,Commercial Banks
BMA,Finance,Commercial Banks
BMI,Industrials,Industrial Machinery/Components
BMNR,Finance,Finance: Consumer Services
BMO,Finance,Commercial Banks
BMY,Health Care,Biotechnology: Pharmaceutical Preparations
BN,Real Estate,Building operators
BNL,Real Estate,Real Estate Investment Trusts
BNS,Finance,Major Banks
BNY,Finance,Major Banks
BOBS,Consumer Discretionary,Other Specialty Stores
BOH,Finance,Major Banks
BOOT,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BOW,Finance,Property-Casualty Insurers
BOX,Technology,Computer Software: Prepackaged Software
BP,Energy,Integrated oil Companies
BR,Consumer Discretionary,Business Services
BRBR,Consumer Staples,Packaged Foods
BRC,Consumer Discretionary,Miscellaneous manufacturing industries
BRO,Finance,Specialty Insurers
BROS,Consumer Discretionary,Restaurants
BRSL,Consumer Discretionary,Services-Misc. Amusement & Recreation
BRSP,Real Estate,Real Estate Investment Trusts
BRX,Real Estate,Real Estate Investment Trusts
BSAC,Finance,Commercial Banks
BSBR,Finance,Commercial Banks
BSM,Energy,Oil & Gas Production
BSTZ,Finance,Trusts Except Educational Religious and Charitable
BSX,Health Care,Medical/Dental Instruments
BTGO,Finance,Finance: Consumer Services
BTI,Health Care, Medicinal Chemicals and Botanical Products 
BTU,Energy,Coal Mining
BTZ,Finance,Finance/Investors Services
BUD,Consumer Staples,Beverages (Production/Distribution)
BURL,Consumer Discretionary,Department/Specialty Retail Stores
BV,Consumer Staples,Farming/Seeds/Milling
BVN,Basic Materials,Metal Mining
BW,Industrials,Building Products
BWA,Consumer Discretionary,Auto Parts:O.E.M.
BWLP,Consumer Discretionary,Transportation Services
